peak_value,fwhm,prominence,corr_energy,qc_coincidence,qc_bell_corr,qc_hom_vis,snr_db_true,snr_db_est,local_cv,label
0.7806457105663851,436.1077636679464,5.050185048874614,165.9484912977796,0.2496041262966099,0.2582789803826186,0.43117233386158105,2,1.969,0.5025592346969618,1
0.4539076878753706,404.68913688129606,5.003456924876306,61.56977475659589,0.31085360987042554,0.22986718213952076,0.4585916436605803,-6,-5.917,0.4817763382505502,1
0.533466,433.0,5.1337,82.125224,0.299805,0.248047,0.476562,-4,-3.848,0.4783,1
0.708003,430.0,4.9733,142.156861,0.266992,0.228906,0.482422,0,0.13,0.4943,1
0.9022384388576662,400.07809899518077,5.093626823726587,220.67919795972944,0.29142367524125357,0.19265300120715517,0.44553200157865835,6,5.784,0.4964861156698532,1
0.839539,429.0,5.0904,200.356776,0.256055,0.186523,0.466797,4,3.951,0.4974,1
0.274398,412.0,5.2169,20.041368,0.323437,0.272266,0.366211,-12,-12.049,0.4963,0
0.9418338312102182,423.75326127675936,5.119361802880914,251.66978620566468,0.24214837055989827,0.1553913760995501,0.4875907782326238,8,8.066,0.5056249287190329,1
0.84718,416.0,5.0996,199.259169,0.261914,0.245117,0.494727,4,4.326,0.4965,1
0.7159622927837181,374.5448132811895,5.175674049928381,130.65637870171201,0.26058758742089316,0.21198450110462927,0.5145590511975134,0,-0.124,0.49586798753351763,1
0.781765,412.0,5.1277,168.78119,0.272852,0.110156,0.455469,2,1.607,0.5074,1
0.3959872371580409,438.5888179780985,4.9017170209645835,49.31781369450209,0.33118821410305893,0.2259934960564294,0.4390603296062959,-8,-8.189,0.47637539551501906,1
0.9151497684814421,430.3788440966539,5.06067660446402,221.47472228701935,0.1607483928627908,0.17949526953176873,0.48213860945537756,6,5.913,0.5082868394872969,1
0.798343,408.0,5.137,175.252066,0.289258,0.212891,0.429297,2,2.063,0.5045,1
0.9320195421394043,423.1077318254461,5.121630750451196,244.25445487964635,0.20228738205240585,0.20297988605092657,0.4896825885755699,8,7.946,0.5065040174591898,1
0.4174583079359828,404.500791627642,5.1420392958053265,48.17093035134416,0.22521150148267738,0.23664568879671827,0.40488010145028475,-8,-7.938,0.5025308023055269,1
0.184833,413.0,5.0046,9.403288,0.247852,0.198633,0.472266,-14,-13.923,0.4954,0
0.1808462271739676,455.219251214622,5.408100098724426,7.143917612667601,0.3431924509373462,0.23762825207138677,0.3985188149482916,-14,-14.08,0.4703141196916028,0
0.29329795307149026,345.1772141121348,5.372677129622069,18.10714066286751,0.33961332372798514,0.2957325895119749,0.37670800736748455,-10,-10.14,0.4923039566969456,0
0.132868,261.0,5.4796,3.678354,0.326758,0.258008,0.382617,-18,-17.863,0.4799,0
0.20370814514889068,414.44557898094956,4.790809867186281,13.859190050053044,0.29400502540304324,0.29882796480652707,0.3619772401766792,-14,-13.98,0.5021268787504859,0
0.635765,428.0,4.9572,116.943013,0.384766,0.182422,0.479297,-2,-2.12,0.4854,1
0.889997,408.0,5.1322,219.757108,0.164844,0.171484,0.453906,6,5.874,0.5069,1
0.7255061911873472,402.7628467345375,5.14145173893321,143.45377012076983,0.2738980620299752,0.17744912564509546,0.422934536801679,0,0.008,0.5013244626416825,1
0.19097,428.0,4.7149,10.953399,0.306055,0.160742,0.430469,-14,-14.002,0.4877,0
0.20609,472.0,5.0375,12.86672,0.329688,0.259375,0.403906,-16,-16.107,0.4941,0
0.546281,432.0,5.0205,87.187642,0.205078,0.199414,0.400391,-4,-4.107,0.4969,1
0.260532,450.0,4.806,19.68735,0.302344,0.277344,0.310742,-10,-9.946,0.4813,0
0.545796,413.0,5.1323,83.335253,0.198633,0.241797,0.410352,-4,-3.719,0.4999,1
0.22867788880167553,431.23980111283504,4.827062218871319,16.820085151248882,0.34058222088043344,0.23241785212853286,0.4227521568215977,-12,-12.098,0.5093777113937793,0
0.199471,415.0,4.9333,10.595049,0.373828,0.336719,0.376953,-14,-14.104,0.5189,0
0.781316,412.0,5.0726,170.106867,0.235937,0.224414,0.458789,2,1.971,0.485,1
0.8692074877309727,423.9732858019087,5.008621302580138,226.11960224025125,0.22987721160728058,0.20501447783690327,0.4740284910584676,6,6.042,0.504703331630329,1
0.099228,354.0,5.4595,2.536921,0.395313,0.212891,0.362695,-18,-18.063,0.5044,0
0.2511848995729735,458.7364348595362,4.885457179834248,3.2772145673847124,0.3768465518950292,0.30402019080350773,0.3833234587449671,-14,-13.974,0.4776987120783363,0
